"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Orange HRM Open source management QA Scenarios","03 - Verify newly added Employee is able to subscribe to marketplace successfully","0","0","1","0","0"
"","Orange HRM Open source management QA Scenarios","05 - Verify Admin is able to search users in directory","0","0","2","0","0"
"","Orange HRM Open source management QA Scenarios","01 - Verify Admin is able to add new Employee with upload clear image","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify that user is able to fire Request to GET single user with ID","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify that PUT requests for Update existing user","0","0","1","0","0"
"","Orange HRM Open source management QA Scenarios","02 - Verify Admin is able to search existing employee","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify that DELETE existing user","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify the list of user GET request return more than 5 users","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify that POST requests for Create a new user","0","0","1","0","0"
"","Dummy Rest API QA Scenarios","Verify that POST requests for Register successfully","0","0","1","0","0"
"","Orange HRM Open source management QA Scenarios","04 - Verify Admin is able to subscribe top 2 Leave notifications successfully","0","0","1","0","0"
