"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 27 09:52:13 UTC 2021","Tue Jul 27 09:52:32 UTC 2021","19106","","Orange HRM Open source management QA Scenarios","","03 - Verify newly added Employee is able to subscribe to marketplace successfully","","03 - Verify newly added Employee is able to subscribe to marketplace successfully",""
"passed","Tue Jul 27 09:52:57 UTC 2021","Tue Jul 27 09:53:30 UTC 2021","33009","","Orange HRM Open source management QA Scenarios","","05 - Verify Admin is able to search users in directory","","05 - Verify Admin is able to search users in directory",""
"passed","Tue Jul 27 09:51:14 UTC 2021","Tue Jul 27 09:51:52 UTC 2021","37763","","Orange HRM Open source management QA Scenarios","","01 - Verify Admin is able to add new Employee with upload clear image","","01 - Verify Admin is able to add new Employee with upload clear image",""
"passed","Tue Jul 27 09:54:03 UTC 2021","Tue Jul 27 09:54:04 UTC 2021","344","","Dummy Rest API QA Scenarios","","Verify that user is able to fire Request to GET single user with ID","","Verify that user is able to fire Request to GET single user with ID","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:54:06 UTC 2021","Tue Jul 27 09:54:07 UTC 2021","1080","","Dummy Rest API QA Scenarios","","Verify that PUT requests for Update existing user","","Verify that PUT requests for Update existing user","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:51:53 UTC 2021","Tue Jul 27 09:52:13 UTC 2021","20689","","Orange HRM Open source management QA Scenarios","","02 - Verify Admin is able to search existing employee","","02 - Verify Admin is able to search existing employee",""
"passed","Tue Jul 27 09:54:07 UTC 2021","Tue Jul 27 09:54:08 UTC 2021","938","","Dummy Rest API QA Scenarios","","Verify that DELETE existing user","","Verify that DELETE existing user","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:53:30 UTC 2021","Tue Jul 27 09:53:59 UTC 2021","28693","","Orange HRM Open source management QA Scenarios","","05 - Verify Admin is able to search users in directory","","05 - Verify Admin is able to search users in directory",""
"passed","Tue Jul 27 09:53:59 UTC 2021","Tue Jul 27 09:54:03 UTC 2021","4389","","Dummy Rest API QA Scenarios","","Verify the list of user GET request return more than 5 users","","Verify the list of user GET request return more than 5 users","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:54:04 UTC 2021","Tue Jul 27 09:54:05 UTC 2021","1095","","Dummy Rest API QA Scenarios","","Verify that POST requests for Create a new user","","Verify that POST requests for Create a new user","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:54:05 UTC 2021","Tue Jul 27 09:54:06 UTC 2021","1004","","Dummy Rest API QA Scenarios","","Verify that POST requests for Register successfully","","Verify that POST requests for Register successfully","Description: This page will contains all rest service .Thease are Fake Online REST API for Testing and Prototyping of sample application which are using rest call to display listing and crud features."
"passed","Tue Jul 27 09:52:32 UTC 2021","Tue Jul 27 09:52:57 UTC 2021","24720","","Orange HRM Open source management QA Scenarios","","04 - Verify Admin is able to subscribe top 2 Leave notifications successfully","","04 - Verify Admin is able to subscribe top 2 Leave notifications successfully",""
